2021/08/08, 733
2021/08/12, 822
2021/08/16, 900
2021/08/19, 1004
2021/08/21, 1104
2021/08/23, 1204
2021/08/25, 1306
2021/08/28, 1409
2021/08/30, 1508
2021/09/01, 1595
2021/09/04, 1675
2021/09/07, 1767
2021/09/11, 1834
2021/09/15, 1841
2021/09/20, 1781
2021/09/23, 1696
2021/09/26, 1613
2021/09/28, 1529
2021/10/01, 1453
2021/10/03, 1372
2021/10/05, 1288
2021/10/07, 1204
2021/10/10, 1123
2021/10/12, 1040
2021/10/14, 963
2021/10/17, 874
2021/10/20, 781
2021/10/23, 693
2021/10/26, 619
2021/10/30, 530
2021/11/04, 435
2021/11/08, 363
2021/11/13, 300
2021/11/17, 250
2021/11/22, 207
2021/11/26, 169
2021/12/01, 143
2021/12/06, 121
2021/12/10, 95
2021/12/15, 74
2021/12/20, 67
2021/12/24, 58
2021/12/29, 49
2022/01/03, 41
2022/01/07, 37
2022/01/11, 32
2022/01/16, 25
2022/01/20, 25
2022/01/25, 22
2022/01/29, 19
2022/02/03, 18
2022/02/08, 15
2022/02/12, 14
2022/02/17, 14
2022/02/21, 14
2022/02/26, 14
2022/03/02, 14
2022/03/07, 14
2022/03/10, 12
