2021/07/25, 513
2021/07/29, 579
2021/08/01, 658
2021/08/04, 745
2021/08/09, 836
2021/08/13, 906
2021/08/18, 939
2021/08/22, 936
2021/08/27, 907
2021/08/31, 854
2021/09/05, 790
2021/09/09, 718
2021/09/14, 647
2021/09/18, 583
2021/09/23, 522
2021/09/27, 472
2021/10/02, 428
2021/10/06, 385
2021/10/11, 349
2021/10/15, 318
2021/10/20, 290
2021/10/24, 265
2021/10/29, 243
2021/11/02, 227
2021/11/07, 210
2021/11/11, 195
2021/11/16, 184
2021/11/20, 174
2021/11/25, 168
2021/11/29, 161
2021/12/04, 155
2021/12/09, 153
2021/12/13, 151
2021/12/18, 151
2021/12/22, 153
2021/12/27, 155
2021/12/31, 159
2022/01/05, 163
2022/01/09, 169
2022/01/14, 171
2022/01/18, 177
2022/01/23, 183
2022/01/27, 186
2022/02/01, 191
2022/02/05, 195
2022/02/10, 198
2022/02/14, 199
2022/02/19, 202
2022/02/23, 202
2022/02/28, 202
2022/03/04, 201
2022/03/08, 198
