2021/07/29, 698
2021/07/31, 782
2021/08/02, 873
2021/08/04, 959
2021/08/06, 1060
2021/08/07, 1161
2021/08/08, 1250
2021/08/09, 1354
2021/08/11, 1481
2021/08/12, 1608
2021/08/14, 1731
2021/08/15, 1850
2021/08/17, 1975
2021/08/19, 2084
2021/08/20, 2174
2021/08/21, 2252
2021/08/23, 2326
2021/08/26, 2420
2021/08/30, 2479
2021/09/03, 2443
2021/09/06, 2352
2021/09/08, 2271
2021/09/10, 2183
2021/09/12, 2081
2021/09/14, 1975
2021/09/16, 1885
2021/09/17, 1802
2021/09/19, 1718
2021/09/20, 1630
2021/09/22, 1544
2021/09/23, 1460
2021/09/25, 1377
2021/09/27, 1295
2021/09/28, 1216
2021/09/30, 1126
2021/10/02, 1029
2021/10/04, 916
2021/10/07, 815
2021/10/10, 725
2021/10/12, 659
2021/10/14, 542
2021/10/18, 465
2021/10/22, 380
2021/10/27, 302
2021/10/31, 241
2021/11/05, 184
2021/11/09, 149
2021/11/14, 118
2021/11/18, 93
2021/11/23, 74
2021/11/27, 61
2021/12/02, 47
2021/12/06, 40
2021/12/11, 32
2021/12/15, 29
2021/12/20, 22
2021/12/24, 18
2021/12/29, 15
2022/01/03, 15
2022/01/07, 15
2022/01/11, 12
2022/01/16, 12
2022/01/20, 12
2022/01/25, 9
2022/01/29, 8
2022/02/03, 8
