2021/07/27, 581
2021/07/30, 665
2021/08/02, 760
2021/08/04, 858
2021/08/06, 950
2021/08/08, 1039
2021/08/09, 1120
2021/08/11, 1210
2021/08/13, 1311
2021/08/16, 1402
2021/08/18, 1486
2021/08/21, 1579
2021/08/25, 1653
2021/08/30, 1674
2021/09/03, 1631
2021/09/07, 1554
2021/09/11, 1469
2021/09/13, 1393
2021/09/16, 1306
2021/09/19, 1215
2021/09/22, 1123
2021/09/25, 1033
2021/09/28, 946
2021/10/01, 863
2021/10/04, 789
2021/10/08, 706
2021/10/12, 621
2021/10/17, 538
2021/10/21, 465
2021/10/26, 401
2021/10/30, 347
2021/11/04, 301
2021/11/08, 260
2021/11/13, 224
2021/11/18, 186
2021/11/24, 159
2021/11/29, 132
2021/12/03, 118
2021/12/08, 102
2021/12/12, 87
2021/12/17, 77
2021/12/21, 68
2021/12/26, 61
2021/12/30, 55
2022/01/04, 47
2022/01/08, 43
2022/01/13, 40
2022/01/17, 35
2022/01/22, 32
2022/01/26, 29
2022/01/31, 26
2022/02/04, 25
2022/02/09, 22
2022/02/13, 20
2022/02/18, 19
2022/02/23, 19
2022/02/27, 15
2022/03/04, 15
2022/03/08, 15
